Symbol,Date,Open,High,Low,Close,Volume
MORN,03-Aug-2015,85.29,85.29,83.48,84.24,58300
MOSY,03-Aug-2015,1.4,1.41,1.35,1.41,63100
MPAA,03-Aug-2015,29.6,29.8,29.22,29.61,119300
MPB,03-Aug-2015,16.35,16.35,16.35,16.35,0
MPEL,03-Aug-2015,20.54,20.65,19.82,20.17,2272300
MPET,03-Aug-2015,2.5,2.5,2.11,2.15,13800
MPWR,03-Aug-2015,51.5,51.85,50.91,51.14,343900
MRCC,03-Aug-2015,14.52,14.9,14.5,14.72,37100
MRCY,03-Aug-2015,14.03,14.23,13.91,14,86400
MRD,03-Aug-2015,15.16,15.28,14.61,14.92,1342200
MRGE,03-Aug-2015,5.5,5.54,5.46,5.51,856400
MRKT,03-Aug-2015,26.54,26.82,26.44,26.53,287800
MRLN,03-Aug-2015,15.85,15.93,15.45,15.57,20700
MRNS,03-Aug-2015,16.96,18.21,16.63,17.41,91200
MRTN,03-Aug-2015,19.35,19.44,19.15,19.26,81200
MRTX,03-Aug-2015,28.78,29.45,27.77,27.96,94400
MRVC,03-Aug-2015,11.97,11.99,11.03,11.98,3700
MRVL,03-Aug-2015,12.41,12.5,12.34,12.48,3276700
MSBF,03-Aug-2015,11.65,11.7,11.63,11.7,24800
MSCC,03-Aug-2015,33.11,33.55,32.48,32.66,510400
MSEX,03-Aug-2015,22.67,22.88,22.44,22.82,33300
MSFG,03-Aug-2015,21.76,22.05,21.7,21.9,30600
MSFT,03-Aug-2015,46.98,47,46.45,46.81,24125800
MSLI,03-Aug-2015,2.39,2.4,2.39,2.39,4900
MSON,03-Aug-2015,9.19,9.21,9.12,9.19,16000
MSTR,03-Aug-2015,204.38,206.99,203.07,203.5,106900
MTBC,03-Aug-2015,2.05,2.29,2.05,2.13,5600
MTEX,03-Aug-2015,17.38,17.71,17.37,17.42,2400
MTGE,03-Aug-2015,16.08,16.15,16.03,16.09,466800
MTGEP,03-Aug-2015,24.12,24.5,24.12,24.49,3400
MTLS,03-Aug-2015,8.69,9,8.35,8.5,91300
MTRX,03-Aug-2015,19.25,19.59,18.68,19.03,170700
MTSC,03-Aug-2015,64.56,64.83,63.01,63.47,76300
MTSI,03-Aug-2015,33.58,33.58,32.82,33.25,495200
MTSL,03-Aug-2015,2.85,2.91,2.81,2.91,21500
MTSN,03-Aug-2015,2.86,2.87,2.55,2.69,750500
MU,03-Aug-2015,18.61,19.39,18.59,19,32958200
