Symbol	Description
HKX.IDX	AMEX Hong Kong 30 Index
HSI.IDX	Hang Seng Index
HUI.IDX	AMEX Gold Bugs Index
HUV.IDX	AMEX Gold Bugs Index Final Sett
HVX.IDX	Mkt Vector Env Serv Iopv
HWI.IDX	AMEX Computer Hardware Index
HWO.IDX	Computer Hardware Index Fnl Set
ICK.IDX	ISE Chindia Index
IDX.IDX	S&P 400 Midcap Index
IEB.IDX	DYNAMIC LARGE CAP INTELL
IEK.IDX	DYNAMIC MID CAP INTELL
IEY.IDX	DYNAMIC SMALL CAP INTELL
IIB.IDX	SEMI INDS PLUS
ILH.IDX	Dynamic Lg Cap Gr Intellidex
ILJ.IDX	Dynamic Mid Cp Gr Intellidex
ILK.IDX	Dynamic Sml Cp Gr Intellidex
ILP.IDX	Dynamic Mid Cp Valu Intellidex
ILR.IDX	DYNAMIC AGR GRWTH INTLDX
ILU.IDX	DYNAMIC DEEP VAL INTELDX
ILW.IDX	Dynamic Lg Cp Valu Intellidex
ILZ.IDX	Dynamic Sml Cp Valu Intellidex
INDS.IDX	Nasdaq Industrial
INSR.IDX	Nasdaq Inurance
IPSA.IDX	IPSA - Chile
IQX.IDX	S&P 500 EQUAL WEIGHT
IQZ.IDX	S&P 1000
IRX.IDX	13-WEEK TREASURY BILL
IUX.IDX	Russell 2000 Stock Index
IVX.IDX	S&P 500 Value
IXB.IDX	Materials Select Sector Index
IXCO.IDX	Nasdaq Computer
IXE.IDX	The Energy Select Sector Index
IXF.IDX	Nasdaq Financial 100
IXHC.IDX	NASDAQ Health Care Index
IXI.IDX	Industrial Select Sector Index
IXM.IDX	Financial Select Sector Index
IXR.IDX	Consumer Staples Select Sector Index
IXT.IDX	Technology Select Sector Index
IXTC.IDX	Nasdaq Telecommunications
IXU.IDX	Utilities Select Sector Index
IXV.IDX	Healthcare Select Sector Index
IXY.IDX	Consumer Discretionary Select Sector Index
JBV.IDX	NYSE Arca Mini-Broker/Dealer  I-
JKC.IDX	ML LONG/SHRT III
JKSE.IDX	Jakarta Composite Index
JPN.IDX	AMEX Japan Index
JPV.IDX	AMEX Japan Index Final Settleme
JX.IDX	Tsx Venture Composite Index
KBK.IDX	NYSE Arca Mini-Pharmaceutical I-
KDX.IDX	KBW Finsec Dividend Yield Index
KDY.IDX	AMEX Hong Kong Index Float Rate
KGX.IDX	KBW Global Ex-U.S. Financials Index
KIX.IDX	KBW Insurance Index
KLCI.IDX	Kuala Lumpur Composite
KLX.IDX	Mkt Vectors Steel Iopv
KPX.IDX	KBW Property & Casualty Index
KRX.IDX	KBW Regional Banking Index
KS11.IDX	Seoul Composite
KSX.IDX	KBW Capital Markets Index
KYX.IDX	KBW Premium Yield Equity REIT Index
LOWA.IDX	AMEX New Lows
LOWD.IDX	OTC New Lows
LOWN.IDX	NYSE New Lows
LOWQ.IDX	NASD New Lows
LOWS.IDX	TSX New Lows
LOWV.IDX	Tsxv New Lows
LVXR.IDX	S&P C.S. Nv-Las Vegas Home Price Index
LXXR.IDX	S&P C.S. Ca-Los Angeles Home Price Index
M1HA.IDX	1-Month Highs AMEX
M1HD.IDX	1-Month Highs Otcbb
M1HE.IDX	1-Month Highs ETFS
M1HH.IDX	1-Month Highs Price GT $10
M1HL.IDX	1-Month Highs Price Lt $10
M1HN.IDX	1-Month Highs NYSE
M1HP.IDX	1-Month Highs Sp500
M1HQ.IDX	1-Month Highs Nasdaq
M1HU.IDX	1-Month Highs Volume Lt 100K
M1HV.IDX	1-Month Highs Volume GT 100K
M1HX.IDX	1-Month Highs Overall
M1LA.IDX	1-Month Lows AMEX
M1LD.IDX	1-Month Lows Otcbb
M1LE.IDX	1-Month Lows ETFS
M1LH.IDX	1-Month Lows Price GT $10
M1LL.IDX	1-Month Lows Price Lt $10
M1LN.IDX	1-Month Lows NYSE
M1LP.IDX	1-Month Lows Sp500
M1LQ.IDX	1-Month Lows Nasdaq
M1LU.IDX	1-Month Lows Volume Lt 100K
M1LV.IDX	1-Month Lows Volume GT 100K
M1LX.IDX	1-Month Lows Overall
M3HA.IDX	3-Month Highs AMEX
M3HD.IDX	3-Month Highs Otcbb
M3HE.IDX	3-Month Highs ETFS
M3HH.IDX	3-Month Highs Price GT $10
M3HL.IDX	3-Month Highs Price Lt $10
M3HN.IDX	3-Month Highs NYSE
M3HP.IDX	3-Month Highs Sp500
M3HQ.IDX	3-Month Highs Nasdaq
M3HU.IDX	3-Month Highs Volume Lt 100K
M3HV.IDX	3-Month Highs Volume GT 100K
