Ticker,Sector,Insiders--buy trades,Insiders--sell trades,Insiders--net shares purchased,Insiders--shares purchased,Insiders--shares sold
SRCL,09  - Services,9,8,-1,26,27
SYK,08  - Health Care,18,13,-141,188,329
STI,07  - Financial,16,11,121,886,765
SYMC,10  - Technology,3,10,-373,131,504
SYF,07  - Financial,16,8,196,268,72
SNPS,10  - Technology,15,10,26,247,221
SYY,09  - Services,21,13,-11,10172,10183
TROW,07  - Financial,19,11,255,1064,809
TGT,09  - Services,25,13,232,351,119
TEL,10  - Technology,23,22,-1,1249,1250
FTI,06  - Energy,25,4,2494,2556,62
TGNA,09  - Services,9,9,36,451,416
TDC,10  - Technology,16,10,149,298,149
TSO,06  - Energy,6,3,74,230,156
TXN,10  - Technology,25,17,-364,1473,1837
TXT,03  - Conglomerates,6,6,52,139,88
KO,05  - Consumer Non-Cyclical,16,5,771,1236,465
WU,09  - Services,19,8,541,766,226
TMO,08  - Health Care,9,10,70,179,109
TIF,09  - Services,12,12,22,201,180
TWX,09  - Services,9,8,276,679,403
TJX,09  - Services,6,7,118,574,456
TMK,07  - Financial,24,21,109,597,488
TSS,10  - Technology,11,11,-94,530,624
TSCO,05  - Consumer Non-Cyclical,7,6,17,96,79
TDG,02  - Capital Goods,9,8,261,473,212
RIG,06  - Energy,8,7,239,381,143
TRV,07  - Financial,24,12,114,503,389
TRIP,09  - Services,6,7,67,87,21
FOXA,09  - Services,4,4,0,16,16
TSN,05  - Consumer Non-Cyclical,23,8,290,656,366
USB,07  - Financial,17,17,296,2871,2575
UDR,09  - Services,8,6,10,180,170
ULTA,09  - Services,6,7,-68,86,153
UAA,04  - Consumer Cyclical,5,7,-17,41,58
UNP,11  - Transportation,11,10,123,229,107
UAL,11  - Transportation,3,10,-75,34,109
UPS,11  - Transportation,1,1,0,5,5
URI,09  - Services,8,15,-122,155,278
UTX,02  - Capital Goods,9,9,13,379,365
UNH,07  - Financial,17,14,30,560,531
UHS,08  - Health Care,3,4,112,1042,931
UNM,07  - Financial,10,13,76,308,232
VLO,06  - Energy,5,6,-18,186,204
VAR,08  - Health Care,12,8,34,128,93
VTR,09  - Services,16,7,368,598,229
VRSN,10  - Technology,4,5,112,229,117
VRSK,07  - Financial,10,12,2,198,196
VZ,09  - Services,9,9,134,400,266
VRTX,08  - Health Care,9,9,114,511,396
VFC,04  - Consumer Cyclical,17,5,8,160,151
VIAB,09  - Services,13,6,-28,153,181
V,09  - Services,14,9,-12,355,367
VNO,09  - Services,2,4,-142,22,164
VMC,02  - Capital Goods,13,6,34,51,17
GWW,04  - Consumer Cyclical,7,7,-1,121,122
WMT,09  - Services,17,16,-62811,4490,67302
WBA,09  - Services,4,2,2022,2130,108
DIS,09  - Services,16,9,84,362,278
WM,09  - Services,16,12,123,482,359
WAT,10  - Technology,14,11,2,156,155
WEC,12  - Utilities,24,15,32,133,101
WFC,07  - Financial,22,20,-6790,1304,8094
HCN,09  - Services,13,9,-43,72,114
WDC,10  - Technology,13,8,-48,277,325
WRK,01  - Basic Materials,19,10,-228,137,365
WY,01  - Basic Materials,9,9,159,495,336
WHR,04  - Consumer Cyclical,13,11,46,220,174
WFM,09  - Services,15,18,-31,44,74
WMB,06  - Energy,9,9,30,149,119
WLTW,07  - Financial,3,9,-42,19,61
WYN,09  - Services,15,10,254,711,457
WYNN,09  - Services,14,6,324,668,345
XEL,12  - Utilities,13,11,200,432,232
XRX,10  - Technology,17,9,834,1009,175
XLNX,10  - Technology,2,5,-97,20,117
XL,07  - Financial,16,10,24,791,767
XYL,02  - Capital Goods,10,8,21,73,52
YHOO,10  - Technology,6,6,-237,139,376
YUM,09  - Services,11,7,78,197,119
ZBH,08  - Health Care,6,5,32,149,118
ZION,07  - Financial,24,21,-63,348,411
ZTS,08  - Health Care,0,0,0,0,0
