Date,LNU02000060
2012-07-01,93769000.00
2012-08-01,94038000.00
2012-09-01,94814000.00
2012-10-01,95089000.00
2012-11-01,94523000.00
2012-12-01,94305000.00
2013-01-01,93418000.00
2013-02-01,93736000.00
2013-03-01,94044000.00
2013-04-01,94591000.00
2013-05-01,94963000.00
2013-06-01,94390000.00
2013-07-01,94247000.00
2013-08-01,94379000.00
2013-09-01,94997000.00
2013-10-01,94553000.00
2013-11-01,94953000.00
2013-12-01,94708000.00
2014-01-01,94512000.00
2014-02-01,94666000.00
2014-03-01,95100000.00
2014-04-01,95421000.00
2014-05-01,95510000.00
2014-06-01,95556000.00
2014-07-01,95098000.00
2014-08-01,95548000.00
2014-09-01,96117000.00
2014-10-01,96262000.00
2014-11-01,96191000.00
2014-12-01,95985000.00
2015-01-01,95834000.00
2015-02-01,96086000.00
2015-03-01,96300000.00
2015-04-01,96742000.00
2015-05-01,96939000.00
2015-06-01,96611000.00
2015-07-01,96107000.00
2015-08-01,96506000.00
2015-09-01,97142000.00
2015-10-01,97112000.00
2015-11-01,97303000.00
2015-12-01,96968000.00
2016-01-01,97047000.00
2016-02-01,97380000.00
2016-03-01,97866000.00
2016-04-01,97932000.00
2016-05-01,98203000.00
2016-06-01,97748000.00
2016-07-01,97628000.00
2016-08-01,97691000.00
2016-09-01,98580000.00
2016-10-01,98806000.00
2016-11-01,98751000.00
2016-12-01,98417000.00
2017-01-01,97656000.00
2017-02-01,98070000.00
2017-03-01,98507000.00
2017-04-01,98920000.00
2017-05-01,98867000.00
2017-06-01,98572000.00
2017-07-01,98476000.00
2017-08-01,98289000.00
2017-09-01,99686000.00
2017-10-01,99584000.00
2017-11-01,99823000.00
2017-12-01,99547000.00
2018-01-01,99157000.00
2018-02-01,99847000.00
2018-03-01,100015000.00
2018-04-01,100206000.00
2018-05-01,100445000.00
