Date,WRMFNS
1992-09-14,347300000000.00
1992-09-21,344000000000.00
1992-09-28,343200000000.00
1992-10-05,340200000000.00
1992-10-12,348500000000.00
1992-10-19,350000000000.00
1992-10-26,349800000000.00
1992-11-02,351000000000.00
1992-11-09,348500000000.00
1992-11-16,346900000000.00
1992-11-23,347800000000.00
1992-11-30,348900000000.00
1992-12-07,347600000000.00
1992-12-14,346700000000.00
1992-12-21,345200000000.00
1992-12-28,341500000000.00
1993-01-04,338700000000.00
1993-01-11,344100000000.00
1993-01-18,346100000000.00
1993-01-25,346500000000.00
1993-02-01,343500000000.00
1993-02-08,343900000000.00
1993-02-15,344300000000.00
1993-02-22,347300000000.00
1993-03-01,348700000000.00
1993-03-08,350000000000.00
1993-03-15,350000000000.00
1993-03-22,348700000000.00
1993-03-29,348400000000.00
1993-04-05,343000000000.00
1993-04-12,347300000000.00
1993-04-19,345200000000.00
1993-04-26,344200000000.00
1993-05-03,341900000000.00
1993-05-10,340500000000.00
1993-05-17,339500000000.00
1993-05-24,343600000000.00
1993-05-31,343000000000.00
1993-06-07,342300000000.00
1993-06-14,343100000000.00
1993-06-21,340500000000.00
1993-06-28,337000000000.00
1993-07-05,331500000000.00
1993-07-12,339200000000.00
1993-07-19,339100000000.00
1993-07-26,339200000000.00
1993-08-02,338700000000.00
1993-08-09,337400000000.00
1993-08-16,336500000000.00
1993-08-23,338800000000.00
1993-08-30,336000000000.00
1993-09-06,332600000000.00
1993-09-13,336700000000.00
1993-09-20,335600000000.00
1993-09-27,336800000000.00
1993-10-04,334800000000.00
1993-10-11,337500000000.00
1993-10-18,335900000000.00
1993-10-25,336200000000.00
1993-11-01,337200000000.00
1993-11-08,337500000000.00
1993-11-15,339300000000.00
1993-11-22,345000000000.00
1993-11-29,344600000000.00
1993-12-06,344000000000.00
1993-12-13,348000000000.00
1993-12-20,345800000000.00
1993-12-27,342400000000.00
1994-01-03,340300000000.00
1994-01-10,344400000000.00
1994-01-17,346400000000.00
1994-01-24,347400000000.00
1994-01-31,344100000000.00
1994-02-07,344500000000.00
1994-02-14,346600000000.00
1994-02-21,346200000000.00
1994-02-28,348200000000.00
1994-03-07,351000000000.00
1994-03-14,354600000000.00
1994-03-21,355900000000.00
1994-03-28,350300000000.00
1994-04-04,349900000000.00
1994-04-11,360200000000.00
1994-04-18,360500000000.00
1994-04-25,362200000000.00
1994-05-02,357500000000.00
1994-05-09,357400000000.00
1994-05-16,357000000000.00
1994-05-23,359600000000.00
1994-05-30,356200000000.00
1994-06-06,353400000000.00
1994-06-13,354400000000.00
1994-06-20,350200000000.00
1994-06-27,349500000000.00
1994-07-04,348900000000.00
1994-07-11,355500000000.00
1994-07-18,356200000000.00
1994-07-25,355300000000.00
1994-08-01,355400000000.00
1994-08-08,356200000000.00
1994-08-15,356300000000.00
1994-08-22,357700000000.00
1994-08-29,353700000000.00
1994-09-05,349600000000.00
1994-09-12,353700000000.00
1994-09-19,354900000000.00
1994-09-26,353700000000.00
1994-10-03,352400000000.00
1994-10-10,355300000000.00
1994-10-17,355900000000.00
1994-10-24,355300000000.00
1994-10-31,356300000000.00
1994-11-07,356600000000.00
1994-11-14,359400000000.00
1994-11-21,363000000000.00
1994-11-28,365100000000.00
1994-12-05,365900000000.00
1994-12-12,370400000000.00
1994-12-19,369500000000.00
1994-12-26,367500000000.00
1995-01-02,364200000000.00
1995-01-09,366100000000.00
1995-01-16,373800000000.00
1995-01-23,375200000000.00
1995-01-30,373500000000.00
1995-02-06,372500000000.00
1995-02-13,374200000000.00
1995-02-20,371300000000.00
1995-02-27,374100000000.00
1995-03-06,369900000000.00
1995-03-13,374800000000.00
1995-03-20,373600000000.00
1995-03-27,374800000000.00
1995-04-03,373100000000.00
1995-04-10,377600000000.00
1995-04-17,377500000000.00
1995-04-24,376700000000.00
1995-05-01,372400000000.00
1995-05-08,373500000000.00
1995-05-15,372600000000.00
1995-05-22,378800000000.00
1995-05-29,380200000000.00
1995-06-05,382000000000.00
1995-06-12,389100000000.00
1995-06-19,389900000000.00
1995-06-26,389900000000.00
1995-07-03,392900000000.00
1995-07-10,397900000000.00
1995-07-17,401300000000.00
1995-07-24,406300000000.00
1995-07-31,407100000000.00
1995-08-07,411300000000.00
1995-08-14,414300000000.00
1995-08-21,416900000000.00
1995-08-28,418800000000.00
1995-09-04,418200000000.00
1995-09-11,419700000000.00
1995-09-18,419900000000.00
1995-09-25,418100000000.00
1995-10-02,417900000000.00
1995-10-09,422300000000.00
1995-10-16,423700000000.00
1995-10-23,423500000000.00
1995-10-30,424000000000.00
1995-11-06,424800000000.00
1995-11-13,428000000000.00
1995-11-20,428800000000.00
1995-11-27,433600000000.00
1995-12-04,432400000000.00
1995-12-11,436400000000.00
1995-12-18,438100000000.00
1995-12-25,435500000000.00
1996-01-01,430200000000.00
1996-01-08,431800000000.00
1996-01-15,445100000000.00
1996-01-22,444700000000.00
1996-01-29,443800000000.00
1996-02-05,441000000000.00
1996-02-12,446200000000.00
