Date,B069RC1
2007-10-01,315200000000.00
2007-11-01,312200000000.00
2007-12-01,310500000000.00
2008-01-01,306800000000.00
2008-02-01,301500000000.00
2008-03-01,294700000000.00
2008-04-01,292300000000.00
2008-05-01,291300000000.00
2008-06-01,291700000000.00
2008-07-01,292300000000.00
2008-08-01,292400000000.00
2008-09-01,291900000000.00
2008-10-01,282000000000.00
2008-11-01,273200000000.00
2008-12-01,265400000000.00
2009-01-01,268700000000.00
2009-02-01,271900000000.00
2009-03-01,275100000000.00
2009-04-01,277200000000.00
2009-05-01,278000000000.00
2009-06-01,277600000000.00
2009-07-01,277900000000.00
2009-08-01,278900000000.00
2009-09-01,280600000000.00
2009-10-01,274600000000.00
2009-11-01,267400000000.00
2009-12-01,259200000000.00
2010-01-01,260200000000.00
2010-02-01,259700000000.00
2010-03-01,257700000000.00
2010-04-01,253100000000.00
2010-05-01,251500000000.00
2010-06-01,252600000000.00
2010-07-01,249800000000.00
2010-08-01,246800000000.00
2010-09-01,243700000000.00
2010-10-01,243900000000.00
2010-11-01,244500000000.00
2010-12-01,245600000000.00
2011-01-01,243700000000.00
2011-02-01,242900000000.00
2011-03-01,243300000000.00
2011-04-01,242700000000.00
2011-05-01,240900000000.00
2011-06-01,237800000000.00
2011-07-01,240100000000.00
2011-08-01,242900000000.00
2011-09-01,246000000000.00
2011-10-01,243300000000.00
2011-11-01,239100000000.00
2011-12-01,233600000000.00
2012-01-01,235300000000.00
2012-02-01,239800000000.00
2012-03-01,247200000000.00
2012-04-01,244800000000.00
2012-05-01,240700000000.00
2012-06-01,235000000000.00
2012-07-01,237800000000.00
2012-08-01,240800000000.00
2012-09-01,244100000000.00
2012-10-01,243100000000.00
2012-11-01,241100000000.00
2012-12-01,238100000000.00
2013-01-01,238700000000.00
2013-02-01,241000000000.00
2013-03-01,245800000000.00
2013-04-01,246200000000.00
2013-05-01,243900000000.00
2013-06-01,239200000000.00
2013-07-01,241000000000.00
2013-08-01,244100000000.00
2013-09-01,248600000000.00
2013-10-01,247600000000.00
2013-11-01,246200000000.00
