Date,HOUSTNSA
2007-02-01,103100.00
2007-03-01,123800.00
2007-04-01,135600.00
2007-05-01,136500.00
2007-06-01,137800.00
2007-07-01,127900.00
2007-08-01,121200.00
2007-09-01,101500.00
2007-10-01,115000.00
2007-11-01,88800.00
2007-12-01,68900.00
2008-01-01,70800.00
2008-02-01,78400.00
2008-03-01,82200.00
2008-04-01,89500.00
2008-05-01,91700.00
2008-06-01,102500.00
2008-07-01,86700.00
2008-08-01,76400.00
2008-09-01,73900.00
2008-10-01,68200.00
2008-11-01,47500.00
2008-12-01,37700.00
2009-01-01,31900.00
2009-02-01,39800.00
2009-03-01,42700.00
2009-04-01,42500.00
2009-05-01,52200.00
2009-06-01,59100.00
2009-07-01,56800.00
2009-08-01,52900.00
2009-09-01,52600.00
2009-10-01,44500.00
2009-11-01,42300.00
2009-12-01,36600.00
2010-01-01,38900.00
2010-02-01,40700.00
2010-03-01,54700.00
2010-04-01,62000.00
2010-05-01,56200.00
2010-06-01,53800.00
2010-07-01,51500.00
2010-08-01,56300.00
2010-09-01,53000.00
2010-10-01,45400.00
2010-11-01,40600.00
2010-12-01,33800.00
2011-01-01,40200.00
2011-02-01,35400.00
2011-03-01,49900.00
2011-04-01,49000.00
2011-05-01,54000.00
2011-06-01,60500.00
2011-07-01,57600.00
2011-08-01,54500.00
2011-09-01,58800.00
2011-10-01,53200.00
2011-11-01,53000.00
2011-12-01,42700.00
2012-01-01,47200.00
2012-02-01,49700.00
2012-03-01,58000.00
2012-04-01,66800.00
2012-05-01,67800.00
2012-06-01,74700.00
2012-07-01,69200.00
2012-08-01,69000.00
2012-09-01,75800.00
2012-10-01,77000.00
2012-11-01,62200.00
2012-12-01,63200.00
2013-01-01,58700.00
2013-02-01,66100.00
2013-03-01,83300.00
2013-04-01,76300.00
2013-05-01,87200.00
2013-06-01,80700.00
2013-07-01,84000.00
2013-08-01,80400.00
2013-09-01,78400.00
2013-10-01,78400.00
2013-11-01,83800.00
2013-12-01,67600.00
2014-01-01,60700.00
2014-02-01,65100.00
2014-03-01,80200.00
2014-04-01,94900.00
2014-05-01,92500.00
2014-06-01,87300.00
2014-07-01,101000.00
2014-08-01,86200.00
2014-09-01,94200.00
2014-10-01,92000.00
2014-11-01,75800.00
2014-12-01,73400.00
2015-01-01,73000.00
2015-02-01,61900.00
2015-03-01,79700.00
2015-04-01,108500.00
2015-05-01,99600.00
2015-06-01,112300.00
2015-07-01,107200.00
2015-08-01,99200.00
2015-09-01,111600.00
2015-10-01,90900.00
2015-11-01,89900.00
2015-12-01,78100.00
2016-01-01,74300.00
2016-02-01,84100.00
2016-03-01,90700.00
2016-04-01,106200.00
2016-05-01,105000.00
2016-06-01,111600.00
2016-07-01,115200.00
2016-08-01,102800.00
2016-09-01,95000.00
2016-10-01,114500.00
2016-11-01,87800.00
2016-12-01,86500.00
2017-01-01,82300.00
2017-02-01,87800.00
2017-03-01,97100.00
2017-04-01,105200.00
2017-05-01,106000.00
2017-06-01,116300.00
2017-07-01,112300.00
2017-08-01,102600.00
2017-09-01,104400.00
2017-10-01,109600.00
2017-11-01,97900.00
2017-12-01,81400.00
2018-01-01,91600.00
2018-02-01,89700.00
2018-03-01,107200.00
2018-04-01,117600.00
2018-05-01,124900.00
