Date,TOTALNSA
2010-08-01,1011500.00
2010-09-01,974000.00
2010-10-01,965200.00
2010-11-01,888000.00
2010-12-01,1162900.00
2011-01-01,836400.00
2011-02-01,1007100.00
2011-03-01,1276800.00
2011-04-01,1173500.00
2011-05-01,1081300.00
2011-06-01,1071200.00
2011-07-01,1086100.00
2011-08-01,1094500.00
2011-09-01,1076000.00
2011-10-01,1048300.00
2011-11-01,1028800.00
2011-12-01,1268500.00
2012-01-01,938200.00
2012-02-01,1175800.00
2012-03-01,1434000.00
2012-04-01,1204500.00
2012-05-01,1369500.00
2012-06-01,1310200.00
2012-07-01,1171800.00
2012-08-01,1305300.00
2012-09-01,1206200.00
2012-10-01,1119100.00
2012-11-01,1169800.00
2012-12-01,1375100.00
2013-01-01,1065800.00
2013-02-01,1217900.00
2013-03-01,1479400.00
2013-04-01,1313800.00
2013-05-01,1473300.00
2013-06-01,1425800.00
2013-07-01,1335800.00
2013-08-01,1527500.00
2013-09-01,1152800.00
2013-10-01,1235500.00
2013-11-01,1271400.00
2013-12-01,1383700.00
2014-01-01,1043000.00
2014-02-01,1221400.00
2014-03-01,1562700.00
2014-04-01,1408200.00
2014-05-01,1644400.00
2014-06-01,1451800.00
2014-07-01,1474000.00
2014-08-01,1607300.00
2014-09-01,1272000.00
2014-10-01,1312300.00
2014-11-01,1324100.00
2014-12-01,1538500.00
2015-01-01,1177900.00
2015-02-01,1285100.00
2015-03-01,1579600.00
2015-04-01,1479300.00
2015-05-01,1668500.00
2015-06-01,1518700.00
2015-07-01,1546800.00
2015-08-01,1598300.00
2015-09-01,1474900.00
2015-10-01,1486400.00
2015-11-01,1358800.00
2015-12-01,1671300.00
2016-01-01,1188800.00
2016-02-01,1374300.00
2016-03-01,1614100.00
2016-04-01,1524100.00
2016-05-01,1552700.00
2016-06-01,1548900.00
2016-07-01,1546800.00
2016-08-01,1539800.00
2016-09-01,1462100.00
2016-10-01,1397100.00
2016-11-01,1399400.00
2016-12-01,1717900.00
2017-01-01,1164300.00
2017-02-01,1352100.00
2017-03-01,1582700.00
2017-04-01,1449700.00
2017-05-01,1543900.00
2017-06-01,1502800.00
2017-07-01,1441000.00
2017-08-01,1512100.00
2017-09-01,1553100.00
2017-10-01,1385600.00
2017-11-01,1424500.00
2017-12-01,1638700.00
2018-01-01,1181700.00
2018-02-01,1328100.00
2018-03-01,1687600.00
2018-04-01,1387600.00
2018-05-01,1621100.00
