A7.C      	MSCI EMI Continuation                             	LIFFE     
VW.C      	2-Yr Euro Swapnote Continuation                   	LIFFE     
VWH18     	2-Yr Euro Swapnote {Mar 18}                       	LIFFE     
VWU17     	2-Yr Euro Swapnote {Sep 17}                       	LIFFE     
VWZ17     	2-Yr Euro Swapnote {Dec 17}                       	LIFFE     
VX.C      	2-Yr Dollar Swapnote Continuation                 	LIFFE     
VXH18     	2-Yr Dollar Swapnote {Mar 18}                     	LIFFE     
VXU17     	2-Yr Dollar Swapnote {Sep 17}                     	LIFFE     
VXZ17     	2-Yr Dollar Swapnote {Dec 17}                     	LIFFE     
VY.C      	5-Yr Dollar Swapnote Continuation                 	LIFFE     
VYH18     	5-Yr Dollar Swapnote {Mar 18}                     	LIFFE     
VYU17     	5-Yr Dollar Swapnote {Sep 17}                     	LIFFE     
VYZ17     	5-Yr Dollar Swapnote {Dec 17}                     	LIFFE     
VZ.C      	10Yr Dollar Swapnote Continuation                 	LIFFE     
VZH18     	10Yr Dollar Swapnote {Mar 18}                     	LIFFE     
VZU17     	10Yr Dollar Swapnote {Sep 17}                     	LIFFE     
VZZ17     	10Yr Dollar Swapnote {Dec 17}                     	LIFFE     
X.C       	FTSE 100 Continuation                             	LIFFE     
XH18      	FTSE 100 {Mar 18}                                 	LIFFE     
XM18      	FTSE 100 {Jun 18}                                 	LIFFE     
XU17      	FTSE 100 {Sep 17}                                 	LIFFE     
XU18      	FTSE 100 {Sep 18}                                 	LIFFE     
XZ17      	FTSE 100 {Dec 17}                                 	LIFFE     
Y.C       	FTSE 250 Continuation                             	LIFFE     
YH18      	FTSE 250 {Mar 18}                                 	LIFFE     
YU17      	FTSE 250 {Sep 17}                                 	LIFFE     
YZ17      	FTSE 250 {Dec 17}                                 	LIFFE     
