EMH       	Emerald Health Therapeutics Inc                   	TSXV      
EMO       	Emerita Resources Corp                            	TSXV      
EMR       	Emgold Mining Corp                                	TSXV      
EMX       	Emx Royalty Corp                                  	TSXV      
ENA       	Enablence Technologies Inc                        	TSXV      
ENER      	Enerspar Corp                                     	TSXV      
ENP       	Enpar Tech Inc                                    	TSXV      
ENV.H     	Enssolutions Group Inc                            	TSXV      
ENW       	Enwave Corp                                       	TSXV      
EOG       	Eco Atlantic Oil and Gas Ltd                      	TSXV      
EP        	Empire Metals Corp                                	TSXV      
EPL       	Eagle Plains Resources Ltd                        	TSXV      
EPO       	Encanto Potash Corp                               	TSXV      
EQ        	Eq Inc                                            	TSXV      
EQG       	Eqube Gaming Limited                              	TSXV      
ERA       	Elcora Advanced Materials Corp                    	TSXV      
ERC       	Eros Resources Corp                               	TSXV      
ERE.UN    	European Commercial REIT                          	TSXV      
ERG       	Ergoresearch Ltd                                  	TSXV      
ERL.H     	Earl Resources Limited                            	TSXV      
ERN.H     	Earny Resources Ltd                               	TSXV      
ES        	Eight Solutions Inc                               	TSXV      
ESK       	Eskay Mining Corp                                 	TSXV      
ESS       	Esstra Industries Inc.                            	TSXV      
ESU       	Eestor Corp                                       	TSXV      
ESV       	Esi Environmental Sensors Inc                     	TSXV      
ESX       	Essex Minerals Inc                                	TSXV      
ETF       	Eastfield Resources Ltd                           	TSXV      
ETMC      	E3 Metals Corp                                    	TSXV      
ETV.H     	Evermount Ventures Inc                            	TSXV      
EU        	Encore Energy Corp                                	TSXV      
EUK       	Eureka Resources Inc                              	TSXV      
EUO       	Eurocontrol Technics Group Inc                    	TSXV      
EV        	Erin Ventures Inc                                 	TSXV      
EVC       	Everfront Ventures Corp                           	TSXV      
EVM       	Evrim Resources Corp                              	TSXV      
EVR       	Everton Resources Inc                             	TSXV      
EW        	East West Petroleum Corp                          	TSXV      
EWK       	Earthworks Industries Inc                         	TSXV      
EWS       	Environmental Waste International Inc             	TSXV      
EXC       	Essex Angel Capital Inc                           	TSXV      
EXG       	Exgen Resources Inc                               	TSXV      
EXS       	Explor Resources Inc                              	TSXV      
EXX       	Equitorial Exploration Corp                       	TSXV      
EYC       	Eyecarrot Innovations Corp                        	TSXV      
EZNC.H    	Eastern Zinc Corp                                 	TSXV      
F         	Fiore Exploration Ltd                             	TSXV      
FA        	Fountain Asset Corp                               	TSXV      
FAM       	Family Memorials Inc                              	TSXV      
FAN       	Gaming Nation Inc                                 	TSXV      
FAV.H     	Focused Capital II Corp                           	TSXV      
FBF       	Fab-Form Industries Ltd                           	TSXV      
FBX       	First Bauxite Corp                                	TSXV      
FCA.U     	Firm Capital American Realty Part Corp            	TSXV      
FCA.WT.U  	Firm Cap American Realty Part Wts USD             	TSXV      
FCC       	First Cobalt Corp                                 	TSXV      
