HSB       	HSBC HOLDINGS                                     	PAR       
IAM       	MAROC TELECOM                                     	PAR       
ICAD      	ICADE                                             	PAR       
IDIP      	IDI                                               	PAR       
IDL       	                                                  	PAR       
IGE       	IGE + XAO                                         	PAR       
ILD       	ILIAD                                             	PAR       
IMDA      	IMMOB.DASSAULT                                    	PAR       
IML       	AFFINE                                            	PAR       
IMPL      	                                                  	PAR       
INEA      	FONCIERE INEA                                     	PAR       
INF       	INFOTEL                                           	PAR       
INFE      	INDLE FIN.ENTREPR.                                	PAR       
ING       	INGENICO                                          	PAR       
INN       	INNELEC MULTIMEDIA                                	PAR       
INSD      	                                                  	PAR       
IPH       	INNATE PHARMA                                     	PAR       
IPN       	IPSEN                                             	PAR       
IPS       	IPSOS                                             	PAR       
ITE       	ITESOFT                                           	PAR       
ITL       	IT LINK                                           	PAR       
ITP       	INTERPARFUMS                                      	PAR       
ITS       	ITS GROUP                                         	PAR       
JCQ       	JACQUET METAL SCE                                 	PAR       
JXR       	ARCHOS                                            	PAR       
KAZI      	ORCH.KAZIBAO REGRT                                	PAR       
KER       	Kering                                            	PAR       
KEY       	KEYRUS                                            	PAR       
KN        	NATIXIS                                           	PAR       
KOF       	KAUFMAN ET BROAD                                  	PAR       
KORI      	KORIAN                                            	PAR       
LACR      	LACROIX SA                                        	PAR       
LAF       	LAFUMA                                            	PAR       
LAN       	LANSON-BCC                                        	PAR       
LAT       	AVIATION LATECOERE                                	PAR       
LBON      	LEBON                                             	PAR       
LCO       	SOLUCOM                                           	PAR       
LD        	LOCINDUS                                          	PAR       
LDL       	LDLC.COM                                          	PAR       
LEY       	FAIVELEY TRANSPORT                                	PAR       
LI        	KLEPIERRE                                         	PAR       
LIN       	LINEDATA SERVICES                                 	PAR       
LNA       	LE NOBLE AGE                                      	PAR       
LNC       	LESNXCONSTRUCTEURS                                	PAR       
LOCAL     	                                                  	PAR       
LOUP      	LDC                                               	PAR       
LPE       	LAURENT-PERRIER                                   	PAR       
LR        	LEGRAND                                           	PAR       
LSS       	LECTRA                                            	PAR       
LTA       	ALTAMIR AMBOISE                                   	PAR       
LTAN      	LE TANNEUR                                        	PAR       
LTE       	VALTECH                                           	PAR       
MAGIS     	                                                  	PAR       
MALA      	GRAND MARNIER                                     	PAR       
MAN       	MANUTAN INTL                                      	PAR       
MAU       	MAUREL ET PROM                                    	PAR       
MC        	LVMH                                              	PAR       
MCLC      	MECELEC                                           	PAR       
MCPHY     	                                                  	PAR       
MED       	MEDASYS                                           	PAR       
MEMS      	MEMSCAP REGPT                                     	PAR       
MERY      	MERCIALYS                                         	PAR       
METEX     	METABOLIC EXPLORER                                	PAR       
MF        	WENDEL                                            	PAR       
MFC       	MAISONS FRANCE                                    	PAR       
MGIC      	MGI COUTIER                                       	PAR       
MKEA      	MAUNA KEA TECHNOLOGIES EUR0.04                    	PAR       
ML        	MICHELIN                                          	PAR       
MLCMB     	CIE DU MONT BLANC                                 	PAR       
MLLEM     	LECTEURS MONDE                                    	PAR       
MLNMA     	MIGUET ET ASSOCIES                                	PAR       
MLPGO     	P.G.O. AUTOMOBILES                                	PAR       
MLSBT     	SBT                                               	PAR       
MLSML     	SMALTO                                            	PAR       
MMB       	LAGARDERE S.C.A.                                  	PAR       
