3UIS	Nx09100w 190601
BBNW	Dbs Mb Epw151202
BBOW	Dbs Mb Ecw151201
BBP	Hor Kew Corporation Limited
BBUW	Ftsechinaa50 10000 Mbepw151127
BBW	Azeus Systems Holdings Ltd.
BBXW	Hsi 27000 Ub Epw151230
BBZW	Hsi 27800 Ub Ecw151127
BCAW	Hsi 26800 Ub Ecw151230
BCBW	Hsi 25800 Ub Ecw160128
BCCW	Hsi 24000 Ub Ecw160128
BCD	China Yuanbang Prop Hldgs Ltd
BCEW	Nikkei225 18500 Mb Ecw151211
BCFW	Nikkei225 20000 Mb Ecw151211
BCGW	Nikkei225 21500 Mb Ecw151211
BCHW	Nikkei225 23000 Mb Ecw151211
BCIW	Nikkei225 18000 Mb Epw151211
BCJW	Nikkei225 19500 Mb Epw151211
BCKW	Nikkei225 21000 Mb Epw151211
BCMW	Cnooc Mb Epw151230
BCNW	Cnooc Mb Ecw151230
BCOW	Pinganins Mb Epw151230
BCPW	Pinganins Mb Ecw151230
BCRW	Tencent Mb Ecw151230
BCV	Qian Hu Corporation Limited
BCW	Qian Hu Corporation Limited 1
BCX	China Flexible Pack Hldg Ltd
BCY	Powermatic Data Systems Ltd
BCZ	Travelite Holdings Ltd.
BDA	Pne Industries Ltd
BDDW	Ftsechinaa50 12500 Mbecw151127
BDEW	Ftsechinaa50 9500 Mbepw151127
BDF	Excelpoint Technology Ltd
BDG	Eastern Holdings Ltd
BDHW	Kepcorp Mb Ecw160201
BDIW	Kepcorp Mb Epw160201
BDJW	Uob Mb Ecw151204
BDKW	Uob Mb Epw160104
BDLW	Sti 3300 Mb Ecw151231
BDMW	Sti 3100 Mb Epw151231
BDN	Ryobi Kiso Holdings Ltd.
BDPW	Globallogisticpropmbecw160627
BDQW	Globallogisticpropmbepw160627
BDR	Willas-array Elec (hldgs) Ltd
BDSW	Capitaland Mb Ecw160901
BDTW	Sembcorp Marine Mb Ecw160627
BDU	Federal Int(2000) Ltd
BDV	Fischer Tech Ltd
BDWW	Ezion Mb Ecw160901
BDX	Gsh Corporation Limited
BDY	Gsh Corporation Limited 1
BDZW	Wilmar Mb Ecw161003
BEAW	Sti 3150 Mb Ecw151231
BEBW	Sti 2950 Mb Epw151231
BEC	Brc Asia Limited
BEDW	Uob Mb Ecw160111
BEEW	Uob Mb Epw160111
BEFW	Dbs Mb Ecw160111
BEGW	Dbs Mb Epw160111
BEH	China International Hldgs Ltd
BEI	Lht Holdings Limited
BEJW	Hsi 23400 Mb Epw151029
BELW	Hsi 22600 Mb Epw151029
BENW	Hsi 24600 Mb Ecw151029
BEOW	Hsi 23800 Mb Ecw151029
BER	Otto Marine Limited
BESU	Indiabulls Properties Invtrust
BEV	Swing Media Technology Grp Ltd
BEW	Jb Foods Limited
BEX	Jb Foods Limited 1
BEYZ	Aspial Trea S$150m5.25%b200828
BEZ	Beng Kuang Marine Limited
BFBW	Hsi 22800 Mb Ecw151029
BFDW	Hsi 20600 Mb Epw151029
BFEW	Hsi 23000 Vt Ecw151029
BFFW	Hsi 24600 Vt Ecw151127
BFGW	Hsi 23800 Vt Ecw151029
BFHW	Hsi 25400 Vt Ecw151127
BFI	Tiong Seng Holdings Limited
BFK	Pharmesis International Ltd.
BFLW	Dbs Mb Ecw160201
BFMW	Dbs Mb Epw160201
BFNW	Kepcorp Mb Ecw160222
BFPW	Ocbc Bk Mb Ecw160111
BFQW	Ocbc Bk Mb Epw160111
BFRW	Uob Mb Ecw160201
BFSW	Uob Mb Epw160201
BFT	Fabchem China Limited
BFU	Tye Soon Ltd
BFVW	Sti 2800 Mb Epw151231
BFWW	Sti 3000 Mb Ecw151231
BFXW	Hsi 19600 Mb Epw151029
BFYW	Hsi 21800 Mb Ecw151029
BFZW	Ftsechinaa50 8000 Mbepw151127
BGAW	Ftsechinaa50 10500 Mbecw151127
