CUH20     	Crude Palm Oil {Mar 20}                           	CME       
CUH21     	Crude Palm Oil {Mar 21}                           	CME       
CUH22     	Crude Palm Oil {Mar 22}                           	CME       
CUJ17     	Crude Palm Oil {Apr 17}                           	CME       
CUJ18     	Crude Palm Oil {Apr 18}                           	CME       
CUJ19     	Crude Palm Oil {Apr 19}                           	CME       
CUJ20     	Crude Palm Oil {Apr 20}                           	CME       
CUJ21     	Crude Palm Oil {Apr 21}                           	CME       
CUK17     	Crude Palm Oil {May 17}                           	CME       
CUK18     	Crude Palm Oil {May 18}                           	CME       
CUK19     	Crude Palm Oil {May 19}                           	CME       
CUK20     	Crude Palm Oil {May 20}                           	CME       
CUK21     	Crude Palm Oil {May 21}                           	CME       
CUM17     	Crude Palm Oil {Jun 17}                           	CME       
CUM18     	Crude Palm Oil {Jun 18}                           	CME       
CUM19     	Crude Palm Oil {Jun 19}                           	CME       
CUM20     	Crude Palm Oil {Jun 20}                           	CME       
CUM21     	Crude Palm Oil {Jun 21}                           	CME       
CUN17     	Crude Palm Oil {Jul 17}                           	CME       
CUN18     	Crude Palm Oil {Jul 18}                           	CME       
CUN19     	Crude Palm Oil {Jul 19}                           	CME       
CUN20     	Crude Palm Oil {Jul 20}                           	CME       
CUN21     	Crude Palm Oil {Jul 21}                           	CME       
CUQ17     	Crude Palm Oil {Aug 17}                           	CME       
CUQ18     	Crude Palm Oil {Aug 18}                           	CME       
CUQ19     	Crude Palm Oil {Aug 19}                           	CME       
CUQ20     	Crude Palm Oil {Aug 20}                           	CME       
CUQ21     	Crude Palm Oil {Aug 21}                           	CME       
CUU17     	Crude Palm Oil {Sep 17}                           	CME       
CUU18     	Crude Palm Oil {Sep 18}                           	CME       
CUU19     	Crude Palm Oil {Sep 19}                           	CME       
CUU20     	Crude Palm Oil {Sep 20}                           	CME       
CUU21     	Crude Palm Oil {Sep 21}                           	CME       
CUV17     	Crude Palm Oil {Oct 17}                           	CME       
CUV18     	Crude Palm Oil {Oct 18}                           	CME       
CUV19     	Crude Palm Oil {Oct 19}                           	CME       
CUV20     	Crude Palm Oil {Oct 20}                           	CME       
CUV21     	Crude Palm Oil {Oct 21}                           	CME       
CUX17     	Crude Palm Oil {Nov 17}                           	CME       
CUX18     	Crude Palm Oil {Nov 18}                           	CME       
CUX19     	Crude Palm Oil {Nov 19}                           	CME       
CUX20     	Crude Palm Oil {Nov 20}                           	CME       
CUX21     	Crude Palm Oil {Nov 21}                           	CME       
CUZ17     	Crude Palm Oil {Dec 17}                           	CME       
CUZ18     	Crude Palm Oil {Dec 18}                           	CME       
CUZ19     	Crude Palm Oil {Dec 19}                           	CME       
CUZ20     	Crude Palm Oil {Dec 20}                           	CME       
CUZ21     	Crude Palm Oil {Dec 21}                           	CME       
D6        	Canadian Dollar                                   	CME       
D6.C      	Canadian Dollar Continuation                      	CME       
D6H18     	Canadian Dollar {Mar 18}                          	CME       
D6H19     	Canadian Dollar {Mar 19}                          	CME       
D6H20     	Canadian Dollar {Mar 20}                          	CME       
D6H21     	Canadian Dollar {Mar 21}                          	CME       
D6H22     	Canadian Dollar {Mar 22}                          	CME       
D6J17     	Canadian Dollar {Apr 17}                          	CME       
D6K17     	Canadian Dollar {May 17}                          	CME       
D6M17     	Canadian Dollar {Jun 17}                          	CME       
D6M18     	Canadian Dollar {Jun 18}                          	CME       
D6M19     	Canadian Dollar {Jun 19}                          	CME       
D6M20     	Canadian Dollar {Jun 20}                          	CME       
D6M21     	Canadian Dollar {Jun 21}                          	CME       
D6N17     	Canadian Dollar {Jul 17}                          	CME       
D6Q17     	Canadian Dollar {Aug 17}                          	CME       
D6U17     	Canadian Dollar {Sep 17}                          	CME       
D6U18     	Canadian Dollar {Sep 18}                          	CME       
D6U19     	Canadian Dollar {Sep 19}                          	CME       
D6U20     	Canadian Dollar {Sep 20}                          	CME       
D6U21     	Canadian Dollar {Sep 21}                          	CME       
D6Z17     	Canadian Dollar {Dec 17}                          	CME       
D6Z18     	Canadian Dollar {Dec 18}                          	CME       
D6Z19     	Canadian Dollar {Dec 19}                          	CME       
D6Z20     	Canadian Dollar {Dec 20}                          	CME       
D6Z21     	Canadian Dollar {Dec 21}                          	CME       
DA        	Class III Milk (Pit)                              	CME       
DA.C      	Class III Milk (Pit) Continuation                 	CME       
DAF18     	Class III Milk (Pit) {Jan 18}                     	CME       
DAF19     	Class III Milk (Pit) {Jan 19}                     	CME       
DAG18     	Class III Milk (Pit) {Feb 18}                     	CME       
DAG19     	Class III Milk (Pit) {Feb 19}                     	CME       
DAH17     	Class III Milk (Pit) {Mar 17}                     	CME       
DAH18     	Class III Milk (Pit) {Mar 18}                     	CME       
DAH19     	Class III Milk (Pit) {Mar 19}                     	CME       
DAJ17     	Class III Milk (Pit) {Apr 17}                     	CME       
DAJ18     	Class III Milk (Pit) {Apr 18}                     	CME       
DAK17     	Class III Milk (Pit) {May 17}                     	CME       
DAK18     	Class III Milk (Pit) {May 18}                     	CME       
DAM17     	Class III Milk (Pit) {Jun 17}                     	CME       
DAM18     	Class III Milk (Pit) {Jun 18}                     	CME       
DAN17     	Class III Milk (Pit) {Jul 17}                     	CME       
DAN18     	Class III Milk (Pit) {Jul 18}                     	CME       
DAQ17     	Class III Milk (Pit) {Aug 17}                     	CME       
DAQ18     	Class III Milk (Pit) {Aug 18}                     	CME       
DAU17     	Class III Milk (Pit) {Sep 17}                     	CME       
DAU18     	Class III Milk (Pit) {Sep 18}                     	CME       
DAV17     	Class III Milk (Pit) {Oct 17}                     	CME       
DAV18     	Class III Milk (Pit) {Oct 18}                     	CME       
DAX17     	Class III Milk (Pit) {Nov 17}                     	CME       
DAX18     	Class III Milk (Pit) {Nov 18}                     	CME       
DAZ17     	Class III Milk (Pit) {Dec 17}                     	CME       
DAZ18     	Class III Milk (Pit) {Dec 18}                     	CME       
DB        	Butter                                            	CME       
DD.C      	E-Mini Dev. Europe Continuation                   	CME       
DDH18     	E-Mini Dev. Europe {Mar 18}                       	CME       
DDM17     	E-Mini Dev. Europe {Jun 17}                       	CME       
DDM18     	E-Mini Dev. Europe {Jun 18}                       	CME       
DDU17     	E-Mini Dev. Europe {Sep 17}                       	CME       
DDZ17     	E-Mini Dev. Europe {Dec 17}                       	CME       
DF        	Nonfat Dry Milk                                   	CME       
DF.C      	Nonfat Dry Milk Continuation                      	CME       
DFF18     	Nonfat Dry Milk {Jan 18}                          	CME       
DFF19     	Nonfat Dry Milk {Jan 19}                          	CME       
DFG18     	Nonfat Dry Milk {Feb 18}                          	CME       
DFG19     	Nonfat Dry Milk {Feb 19}                          	CME       
DFH17     	Nonfat Dry Milk {Mar 17}                          	CME       
DFH18     	Nonfat Dry Milk {Mar 18}                          	CME       
DFH19     	Nonfat Dry Milk {Mar 19}                          	CME       
DFJ17     	Nonfat Dry Milk {Apr 17}                          	CME       
DFJ18     	Nonfat Dry Milk {Apr 18}                          	CME       
DFK17     	Nonfat Dry Milk {May 17}                          	CME       
DFK18     	Nonfat Dry Milk {May 18}                          	CME       
DFM17     	Nonfat Dry Milk {Jun 17}                          	CME       
DFM18     	Nonfat Dry Milk {Jun 18}                          	CME       
DFN17     	Nonfat Dry Milk {Jul 17}                          	CME       
DFN18     	Nonfat Dry Milk {Jul 18}                          	CME       
DFQ17     	Nonfat Dry Milk {Aug 17}                          	CME       
DFQ18     	Nonfat Dry Milk {Aug 18}                          	CME       
DFU17     	Nonfat Dry Milk {Sep 17}                          	CME       
DFU18     	Nonfat Dry Milk {Sep 18}                          	CME       
DFV17     	Nonfat Dry Milk {Oct 17}                          	CME       
DFV18     	Nonfat Dry Milk {Oct 18}                          	CME       
DFX17     	Nonfat Dry Milk {Nov 17}                          	CME       
DFX18     	Nonfat Dry Milk {Nov 18}                          	CME       
DFZ17     	Nonfat Dry Milk {Dec 17}                          	CME       
DFZ18     	Nonfat Dry Milk {Dec 18}                          	CME       
DG.C      	Dry Whey Continuation                             	CME       
DGF18     	Dry Whey {Jan 18}                                 	CME       
DGF19     	Dry Whey {Jan 19}                                 	CME       
DGG18     	Dry Whey {Feb 18}                                 	CME       
DGG19     	Dry Whey {Feb 19}                                 	CME       
DGH17     	Dry Whey {Mar 17}                                 	CME       
DGH18     	Dry Whey {Mar 18}                                 	CME       
DGH19     	Dry Whey {Mar 19}                                 	CME       
DGJ17     	Dry Whey {Apr 17}                                 	CME       
DGJ18     	Dry Whey {Apr 18}                                 	CME       
DGK17     	Dry Whey {May 17}                                 	CME       
DGK18     	Dry Whey {May 18}                                 	CME       
DGM17     	Dry Whey {Jun 17}                                 	CME       
DGM18     	Dry Whey {Jun 18}                                 	CME       
DGN17     	Dry Whey {Jul 17}                                 	CME       
DGN18     	Dry Whey {Jul 18}                                 	CME       
DGQ17     	Dry Whey {Aug 17}                                 	CME       
DGQ18     	Dry Whey {Aug 18}                                 	CME       
DGU17     	Dry Whey {Sep 17}                                 	CME       
DGU18     	Dry Whey {Sep 18}                                 	CME       
DGV17     	Dry Whey {Oct 17}                                 	CME       
DGV18     	Dry Whey {Oct 18}                                 	CME       
DGX17     	Dry Whey {Nov 17}                                 	CME       
DGX18     	Dry Whey {Nov 18}                                 	CME       
DGZ17     	Dry Whey {Dec 17}                                 	CME       
DGZ18     	Dry Whey {Dec 18}                                 	CME       
DK        	Class IV Milk                                     	CME       
DK.C      	Class IV Milk Continuation                        	CME       
DKF18     	Class IV Milk {Jan 18}                            	CME       
DKF19     	Class IV Milk {Jan 19}                            	CME       
DKG18     	Class IV Milk {Feb 18}                            	CME       
DKG19     	Class IV Milk {Feb 19}                            	CME       
DKH17     	Class IV Milk {Mar 17}                            	CME       
DKH18     	Class IV Milk {Mar 18}                            	CME       
DKH19     	Class IV Milk {Mar 19}                            	CME       
DKJ17     	Class IV Milk {Apr 17}                            	CME       
DKJ18     	Class IV Milk {Apr 18}                            	CME       
DKK17     	Class IV Milk {May 17}                            	CME       
DKK18     	Class IV Milk {May 18}                            	CME       
DKM17     	Class IV Milk {Jun 17}                            	CME       
DKM18     	Class IV Milk {Jun 18}                            	CME       
DKN17     	Class IV Milk {Jul 17}                            	CME       
DKN18     	Class IV Milk {Jul 18}                            	CME       
DKQ17     	Class IV Milk {Aug 17}                            	CME       
DKQ18     	Class IV Milk {Aug 18}                            	CME       
DKU17     	Class IV Milk {Sep 17}                            	CME       
DKU18     	Class IV Milk {Sep 18}                            	CME       
DKV17     	Class IV Milk {Oct 17}                            	CME       
DKV18     	Class IV Milk {Oct 18}                            	CME       
DKX17     	Class IV Milk {Nov 17}                            	CME       
DKX18     	Class IV Milk {Nov 18}                            	CME       
