14D       	1414 Degrees Limited                              	ASX       
BHPLOF    	Bhp Billiton Limited                              	ASX       
BHPLOH    	Bhp Billiton Limited                              	ASX       
BHPLON    	Bhp Billiton Limited                              	ASX       
BHPLOP    	Bhp Billiton Limited                              	ASX       
BHPLOT    	Bhp Billiton Limited                              	ASX       
BHPLOU    	Bhp Billiton Limited                              	ASX       
BHPLOV    	Bhp Billiton Limited                              	ASX       
BHPLOW    	Bhp Billiton Limited                              	ASX       
BHPMOD    	Bhp Billiton Limited                              	ASX       
BHPMOQ    	Bhp Billiton Limited                              	ASX       
BHPMOR    	Bhp Billiton Limited                              	ASX       
BHPMOS    	Bhp Billiton Limited                              	ASX       
BID       	Bidenergy Limited                                 	ASX       
BIDO      	Bidenergy Limited                                 	ASX       
BILL      	BILL                                              	ASX       
BIN       	Bingo Industries Limited                          	ASX       
BINKOC    	Bingo Industries Limited                          	ASX       
BINKOD    	Bingo Industries Limited                          	ASX       
BINKOE    	Bingo Industries Limited                          	ASX       
BIQ       	Buildingiq Inc                                    	ASX       
BIR       	Burswood                                          	ASX       
BIS       	                                                  	ASX       
BIT       	Biotron Ltd                                       	ASX       
BITOA     	Biotron Limited                                   	ASX       
BITOB     	Biotron Limited                                   	ASX       
BKI       	Brickworks Investment Company Ltd                 	ASX       
BKL       	Blackmores Laboratories Ltd                       	ASX       
BKLKOB    	Blackmores Limited                                	ASX       
BKLKOD    	Blackmores Limited                                	ASX       
BKLKOP    	Blackmores Limited                                	ASX       
BKLKOQ    	Blackmores Limited                                	ASX       
BKM       	BKM Management Ltd                                	ASX       
BKP       	Baraka Petroleum Ltd                              	ASX       
BKT       	Black Rock Mining Limited                         	ASX       
BKTOD     	Black Rock Mining Limited                         	ASX       
BKW       	Brickworks Ltd                                    	ASX       
BKY       	Berkeley Resources Ltd                            	ASX       
BLA       	Blue Sky Alternative Investments Limited          	ASX       
BLD       	Boral Ltd                                         	ASX       
BLDKOA    	Boral Limited.                                    	ASX       
BLDKOD    	Boral Limited.                                    	ASX       
BLDKOF    	Boral Limited.                                    	ASX       
BLDKOP    	Boral Limited.                                    	ASX       
BLDKOS    	Boral Limited.                                    	ASX       
BLDKOU    	Boral Limited.                                    	ASX       
BLG       	Blugass Ltd                                       	ASX       
BLK       	Blackham Resources Ltd                            	ASX       
BLKOA     	Blackham Resources Limited                        	ASX       
BLT       	Benitec Ltd                                       	ASX       
BLX       	Beacon Lighting Group Limited                     	ASX       
BLY       	Boart Longyear Ltd                                	ASX       
BLYO      	Boart Longyear Limited                            	ASX       
BLZ       	Blaze International Ltd                           	ASX       
BMG       	Brazilian Metals Group Limited.                   	ASX       
BMGOA     	Bmg Resources Limited                             	ASX       
BMH       	Baumart Holdings Limited                          	ASX       
