A9H19     	MSCI EAFE NTR Index {Mar 19}                      	NYBOT     
PYH19     	Euro/Rand {Mar 19}                                	NYBOT     
PYM19     	Euro/Rand {Jun 19}                                	NYBOT     
PYU19     	Euro/Rand {Sep 19}                                	NYBOT     
PYZ18     	Euro/Rand {Dec 18}                                	NYBOT     
PZ        	Swiss Franc                                       	NYBOT     
PZH19     	Swiss Franc {Mar 19}                              	NYBOT     
PZM19     	Swiss Franc {Jun 19}                              	NYBOT     
PZU19     	Swiss Franc {Sep 19}                              	NYBOT     
PZZ18     	Swiss Franc {Dec 18}                              	NYBOT     
R1H19     	MSCI Canada Index {Mar 19}                        	NYBOT     
R1M19     	MSCI Canada Index {Jun 19}                        	NYBOT     
R1U19     	MSCI Canada Index {Sep 19}                        	NYBOT     
R1Z18     	MSCI Canada Index {Dec 18}                        	NYBOT     
R1Z19     	MSCI Canada Index {Dec 19}                        	NYBOT     
R2H19     	MSCI World Index {Mar 19}                         	NYBOT     
R2M19     	MSCI World Index {Jun 19}                         	NYBOT     
R2U19     	MSCI World Index {Sep 19}                         	NYBOT     
R2Z18     	MSCI World Index {Dec 18}                         	NYBOT     
R2Z19     	MSCI World Index {Dec 19}                         	NYBOT     
RK        	Euro/Krona                                        	NYBOT     
RKH19     	Euro/Krona {Mar 19}                               	NYBOT     
RKM19     	Euro/Krona {Jun 19}                               	NYBOT     
RKU19     	Euro/Krona {Sep 19}                               	NYBOT     
RKZ18     	Euro/Krona {Dec 18}                               	NYBOT     
RZ        	Euro/Swiss                                        	NYBOT     
RZH19     	Euro/Swiss {Mar 19}                               	NYBOT     
RZM19     	Euro/Swiss {Jun 19}                               	NYBOT     
RZU19     	Euro/Swiss {Sep 19}                               	NYBOT     
RZZ18     	Euro/Swiss {Dec 18}                               	NYBOT     
S2H19     	MSCI EMLA Index {Mar 19}                          	NYBOT     
